,code
31,"#include<stdio.h>

int main()
{
    int i, a[] = {2, 4, 6, 8, 10};
    change(a, 5);
    for(i=0; i<=4; i++)
        printf(""%d, "", a[i]);
    return 0;
}
void change(int *b, int n)
{
    int i;
    for(i=0; i<n; i++)
        *(b+1) = *(b+i)+5;
}"
32,"int main()
{
    char str[5] = ""IndiaBIX"";
    return 0;
}"
33,"#include<stdio.h>
int check (int, int);

int main()
{
    int c;
    c = check(10, 20);
    printf(""c=%d
"", c);
    return 0;
}
int check(int i, int j)
{
    int *p, *q;
    p=&i;
    q=&j;
    i>=45 ? return(*p): return(*q);
}"
34,"#include<stdio.h>
int main()
{
    int a[5] = {2, 3};
    printf(""%d, %d, %d
"", a[2], a[3], a[4]);
    return 0;
}"
35,"#include<stdio.h>
int main()
{
    extern int i;
    i = 20;
    printf(""%d
"", sizeof(i));
    return 0;
}"
36,"#include<stdio.h>
int main()
{
    int j=1;
    while(j <= 255)
    {
        printf(""%c %d
"", j, j);
        j++;
    }
    return 0;
}"
37,"#include<stdio.h>
int main()
{
    int a = 5;
    switch(a)
    {
    case 1:
    printf(""First"");

    case 2:
    printf(""Second"");

    case 3 + 2:
    printf(""Third"");

    case 5:
    printf(""Final"");
    break;

    }
    return 0;
}"
38,"#include<stdio.h>
int main()
{
    int P = 10;
    switch(P)
    {
       case 10:
       printf(""Case 1"");

       case 20:
       printf(""Case 2"");
       break;

       case P:
       printf(""Case 2"");
       break;
    }
    return 0;
}"
39,"#include<stdio.h>
int main()
{
    int i=2;
    printf(""%d, %d
"", ++i, ++i);
    return 0;
}"
40," int f(int a, float b)
    {
        /* Some code */
    }
    int f(a, b)
    int a; float b;
    {
        /* Some code */
    }
"
41,"#include<stdio.h>
#define SQR(x)(x*x)

int main()
{
    int a, b=3;
    a = SQR(b+2);
    printf(""%d
"", a);
    return 0;
}"
42,"#include<stdio.h>

int main()
{
    char *p;
    p=""hello"";
    printf(""%s
"", *&*&p);
    return 0;
}"
43,"#include<stdio.h>

int main()
{
    FILE *fs, *ft, *fp;
    fp = fopen(""A.C"", ""r"");
    fs = fopen(""B.C"", ""r"");
    ft = fopen(""C.C"", ""r"");
    fclose(fp, fs, ft);
    return 0;
}"
44,"#include<stdio.h>

int main()
{
    FILE *fs, *ft;
    char c[10];
    fs = fopen(""source.txt"", ""r"");
    c[0] = getc(fs);
    fseek(fs, 0, SEEK_END);
    fseek(fs, -3L, SEEK_CUR);
    fgets(c, 5, fs);
    puts(c);
    return 0;
}"
45,"/* myprog.c */
#include<stdio.h>
#include<stdlib.h>

int main(int argc, char **argv)
{
    printf(""%s
"", *++argv);
    return 0;
}"
46,"#include<stdio.h>
#include<stdlib.h>

int main()
{
    int *p, i, j;
    /* Add statement here */
    for(i=0; i<3; i++)
    {
        for(j=0; j<4; j++)
        {
            p[i*4+j] = i;
            printf(""%d"", p[i*4+j]);
        }
    }
    return 0;
}"
47,"#include<stdio.h>
#include<stdarg.h>
void display(char *s, ...);
int fun1();
int fun2();

int main()
{
    int (*p1)();
    int (*p2)();
    p1 = fun1;
    p2 = fun2;
    display(""IndiaBIX"", p1, p2);
    return 0;
}
void display(char *s, ...)
{
    int (*pp1)();
    int (*pp2)();
    va_list ptr;

    va_start(ptr, s);
    pp1 = va_arg(ptr, int(*)());
    (*pp1)();

    pp2 = va_arg(ptr, int(*)());
    (*pp2)();

}
int fun1()
{
    printf(""Hello"");
}
int fun2()
{
    printf(""Hi"");
}"
48,int (*ptr)[30];
49,"#include<stdio.h> // C header file for standard input and output
int a = 0 ; // initilaizing and declaring the integer a to value 0.
int main ()  // main class
{
if ( a == 0 )  //  This condition will be true
{
printf ( "" a = 0  
 "" ) ;
}
else                        // Else part will be optimized
{
printf ( "" a ! = 0  
 "" ) ;
}
return 0 ; // returning value
}"
50,"#include<stdio.h>
volatile int a ;    /* volatile Keyword used before declaration of integer variable a */
int main() // main class
{
a = 0 ;   // initializing the integer value to 0
if (a == 0)  // applying if condition
{
printf ( "" a = 0 
 "" ) ;
}
else// Now compiler never optimize else part because the variable is declared as volatile
{
printf ( "" a ! = 0  
 "" ) ;
}
return 0 ;
}"
51,"#include <stdio.h>
int main (void)                 // main class declaration in the code
{
const volatile int local_value = 25 ; // declaring constant volatile integer variable with assigned value
int *ptr = ( int* ) &local_value ;
printf ( "" The initial value of the local_value is  : %d 
 "", local_value ) ;
*ptr = 195 ;  // value to the pointer
printf ( "" The modified value of the local_value is: %d 
 "", local_value ) ;
return 0 ;
}"
52,"#include <stdio.h>

int function()
{
    auto int a = 1;
    printf(""%d"", a);
}

int main() 
{
    function();
	return 0;
}
"
53,"#include <stdio.h>

int function()
{    
    auto int a = 1;
    printf(""%d
"", a);
    
    int opengenus_function()
    {
        int b = 2;
        printf(""%d"", b);
    }
    
    opengenus_function();
}

int main() 
{
    function();
	return 0;
}"
54,"#include <stdio.h>
int main() {
   register char x = 'S';
   register int a = 10;
   auto int b = 8;
   printf(""The value of register variable b : %c
"",x);
   printf(""The sum of auto and register variable : %d"",(a+b));
   return 0;
}"
